companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114841.0,Presentation Operator Message,Operator,,Operator,0,"Welcome to the Second Quarter Fiscal Year 2018 Microsoft Corporation Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. I would like to turn the call over to Chris Suh, General Manager of Investor Relations. Chris, please proceed.",42
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114842.0,Presenter Speech,Chris Suh,,Executives,1,"Thank you, Roya. Good afternoon, and thank you for joining us today. On the call with me are Satya Nadella, Chief Executive Officer; Amy Hood, Chief Financial Officer; Frank Brod, Chief Accounting Officer; and Carolyn Frantz, our new Deputy General Counsel, Corporate Secretary.
On the Microsoft Investor Relations website you can find our earnings press release and financial summary slide deck, which is intended to supplement our prepared remarks during today's call and provide the reconciliation of differences between GAAP and non-GAAP financial measures. This quarter, we incurred a tax charge related to the enactment of the Tax Cut and Jobs Act. We have excluded the impact of this tax charge in our non-GAAP net income and earnings per share metrics. These non-GAAP financial metrics should not be considered as a substitute for, or superior to, the measures of financial performance prepared in accordance with GAAP. They are included as additional clarifying items to aid investors in further understanding the company's second quarter performance in addition to the impact that these items and events had on the financial results.
All growth comparisons we make on the call today relate to the corresponding period of last year, unless otherwise noted. We will also provide growth rates in constant currency, when available, as a framework for assessing how our underlying businesses performed, excluding the effect of foreign currency rate fluctuations. Where growth rates are the same in constant currency, we will refer to the growth rate only.
  
We will post our prepared remarks to our website immediately following the call until the complete transcript is available. Today's call is being webcast live and recorded. If you ask a question, it will be included in our live transmission, in the transcript and in any future use of the recording. You can replay the call and view the transcript on the Microsoft Investor Relations website until January 31, 2019.
During this call, we will be making forward-looking statements, which are predictions, projections or other statements about future events. These statements are based on current expectations and assumptions that are subject to risks and uncertainties. Actual results could materially differ because of factors discussed in today's earnings press release, in the comments made during the conference call and in the Risk Factors section of our Form 10-K, Form 10-Q and other reports and filings with the Securities and Exchange Commission. We do not undertake any duty to update any forward-looking statement.
And with that, I'll turn the call over to Satya.",416
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114843.0,Presenter Speech,Satya Nadella,,Executives,2,"Thank you, Chris, and thanks to everyone on the phone for joining. Our results this quarter speak to us picking the right secular trends and markets and following that up with focused innovation and execution. The intelligent cloud and intelligent edge paradigm is fast becoming a reality. Azure growth accelerated. LinkedIn growth accelerated. Microsoft 365 and Dynamics 365 are driving our growth and transforming the workplace. Xbox is reaching new customers with new offers.
With that as a backdrop, I want to highlight key areas of innovation and growth across our customer solutions. Every CEO I talk to is keen to start their transformation journey by empowering their employees and creating a modern workplace. They want productivity and collaboration tools that deliver continuous innovation and do so securely. Spectre and Meltdown are the latest instances in an increasingly complex threat environment. Our investments to make Windows 10 the most secure, always up-to-date operating system enabled us to move quickly to protect customers in the face of these threats.
Protecting customers will continue to be a top priority. Our continued commitment to operational security and advanced technology is one reason customers like BP, Goodyear, PayPal are choosing Microsoft 365. MasterCard chose Microsoft 365 to empower employees and inspire teamwork with integrated apps like Teams, Yammer and SharePoint. We're infusing AI across Microsoft 365 with the simple goal of helping people do their best work. Insights in Excel is a new service that uses machine learning to detect and highlight patterns. Translator brings 60 languages to Word. We are helping people be more productive on-the-go on any platform with real-time co-authoring in Office apps on iOS, Android and now the Mac.
And just this month, we announced that dictation will be available across multiple apps in Office 365, empowering users to write freely using only their voice. We are making voice a first-class input for productivity. Cortana can help manage your e-mail by pulling up important e-mails, reading them aloud and letting you reply using just your voice. We're also bringing Cortana's intelligence to Outlook mobile app, notifying you when it's time to leave a meeting to get to your next one based on your location and traffic. Mixed Reality empowers employees with new immersive experiences. Enterprise customers like Mercedes-Benz in Germany are using Mixed Reality to transform training, helping maintenance technicians learn everything from guided brake repair to how components in a new diesel engine work.
We are expanding our opportunity with Microsoft 365 for organizations of all types and sizes. Take first-line workers. Leading global telecommunications, retail and hospitality companies, such as BT, Target, Panera Bread and Delta Global Services all chose Office 365 to maximize the impact of their first-line workforce. In education, we are empowering every student with new learning tools natively built into Office 365 to improve reading, writing and comprehension as well as mixed reality experiences for immersive learning. This quarter, we launched Surface LTE and unveiled a new generation of always-on, always-connected Windows 10 PCs from our OEM partners. With up to 20 days of standby power, this new category of PCs deeply integrated with Cortana and with new near-field and far-field capability will fundamentally change productivity.
Now I'll turn to LinkedIn and business applications. As we pass the 1-year mark of Microsoft and LinkedIn uniting the world's leading professional cloud with the world's leading professional network, LinkedIn continues its strong trajectory with accelerating revenue growth and record levels of engagement, the fifth consecutive quarter of more than 20% sessions growth. Appetite for conversations across the platform continues to grow, from sharing in the feed to video to one-on-one messages sent, all up more than 60% year-over-year. This increased engagement across the platform is driving strong growth in demand for sponsored content and marketing solutions and record levels of job postings and job visitors in Talent Solutions.
LinkedIn is continually creating new ways for members to connect and engage with one another, such as this quarter's launch of Career Advice. From the deeper integration of Sales Navigator and Dynamics 365 for Sales and Dynamics for Talent to the launch of Profile Card to bring personalized LinkedIn insights directly into Office 365 to the new Resume Assistant, I'm excited about the many ways in which we are delivering powerful customer and member experiences that leverage both the Microsoft and LinkedIn graphs.
We continue to see good momentum in Dynamics 365 with revenue growth of 67% year-over-year. Our modern and modular business process applications are resonating with customers, driving digital transformation. Park Place Technologies, a global leader in data center support, chose Dynamics 365 along with LinkedIn Sales Navigator integration. And United Technologies and Columbia Sportswear chose Dynamics 365 and Azure for their digital transformation.
Now I'll talk about cloud and AI. As intelligent cloud/intelligent edge becomes more predominant, our architectural advantage is increasingly clear to our customers. You see this reflected in the latest CIO surveys as well as in our 98% Azure revenue growth this quarter. Only Microsoft delivers hybrid consistency, developer productivity, AI capabilities and trusted security and compliance. This architectural advantage helps us address both existing enterprise workloads and new workloads, such as IoT and edge AI. To thrive in this new era, customers need a consistent stack across public cloud and the edge, a model Azure Stack uniquely enables.
Since broad availability just a few months ago, we are seeing incredible customer demand for Azure Stack across a diverse set of industries, including Schlumberger, ABB, Mitsui Knowledge Industry. We're democratizing data science and AI so any organization can convert their data into actionable insights and drive competitive advantage. Azure Cosmos DB is the first globally distributed multimodal database. It is unique in its support for a new class of low-latency, event-based serverless applications. Azure Databricks brings leading Apache Spark-based analytics. Our new SQL Server on Linux is off to a strong start with more than 5 million downloads and will bring more developers to the SQL ecosystem longer term.
To thrive in a world with millions of intelligent endpoints, every company needs an IoT strategy. Microsoft is giving customers comprehensive solutions to help them realize the promise of connected world of devices and things. Azure IoT Central is the first global-scale SaaS offering that enables customers to build intelligent, secure, enterprise-grade IoT app in hours. Azure Event Grid simplifies the creation of event-driven IoT solutions across millions of endpoints. Azure IoT Edge enables customers to run serverless computing and machine learning models at the edge.
Chevron is using Azure IoT to harness massive amounts of data from its oil fields to accelerate deployment of new intelligent solutions for oil exploration and to manage thousands of oil wells worldwide, increasing revenue and improving safety and reliability of their operations. Kohler is building connected, voice-activated products powered by Azure IoT. And Johnson Controls is using large-scale device management capabilities in Azure IoT and Windows IoT for their new smart GLAS thermostat with Cortana voice control.
We reached the human parity milestone in machine reading comprehension using the Stanford Question Answer Dataset benchmark, which is the ability for AI to read a document and answer questions about it. We're using this and other AI advances to address some of society's most stressing challenges by partnering broadly across industries.
In health care, we are partnering with Adaptive Biotechnologies to build a practical solution for mapping the human immune system to detect cancer and other diseases in their earlier stages. We have created a HIPAA-compliant health bot powered by Azure Cognitive Services to assist with questions about health insurance, symptoms and location on nearby doctors. Aurora Health Care, UPMC, Premera Blue Cross have already signed on.
In retail, Kroger is using Azure to power their digital grocery store display solution for real-time pricing and promotions based on customer data to boost sales. Lowe's autonomous in-store robot uses Azure to keep constant tabs on inventory and identify out-of-stock or misplaced items, freeing store employees to focus on their customers. And Publicis Groupe's new AI platform built on Azure and Office 365 will empower their 80,000 employees worldwide.
Now let me turn to gaming. Our new Xbox One X was the top-selling premium console this holiday in the United States, and we saw strong sales of Xbox One S. We will continue to innovate in console to attract high-value gamers who want immersive 4K experiences to build a broader subscription service with Game Pass and to extend our services to all devices in our customers' lives across the console, PC and mobile. Our decision to release exclusive game content on the Xbox Game Pass simultaneously with global release increases the value of the subscription for members and our partners, and we are off to a very good start. We grew gamer engagement again this quarter with 59 million monthly active Xbox LIVE members, record usage of our Xbox LIVE services, record viewers of our new streaming service, Mixer, and record Minecraft users.
Finally, we just acquired PlayFab, which serves more than 700 million gamers with more than 1,200 games from companies like Disney, Rovio and Atari. It's a complete back-end platform for mobile, PC and console game developers to build, launch and scale cloud-connected games, extending our investments in Azure to provide a world-class cloud platform for the gaming industry.
Before I turn over to Amy, I want to reflect on a topic that is at the forefront of every customer conversation that I have. In an era where there is rapid transformation driven by digital technology, customers are looking for a trusted partner, someone with a business model that is aligned with their long-term interests, deep technical innovation and an understanding of the responsibility that goes along with this innovation. This perhaps is one of our key differentiators. Internally, we have a saying, ""Microsoft runs on trust,"" and we strive to earn it every day with all of the constituents we serve.
Now I'll hand it over to Amy, who will cover our financial results in more detail and share our outlook, and I look forward to rejoining you for the questions later.",1685
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114844.0,Presenter Speech,Amy Hood,,Executives,3,"Thank you, Satya, and good afternoon, everyone. Our second quarter revenue was $28.9 billion, up 12% and 11% in constant currency with better-than-expected performance across all segments. Gross margin increased 12%. Operating income increased 10%. This quarter, we incurred a tax charge of $13.8 billion related to the enactment of the Tax Cuts and Jobs Act. Excluding that, earnings per share was $0.96, increasing 20%. We achieved another quarter of double-digit top and bottom line growth as we continued to realize the impact of strategic growth investments along with strong sales execution.
At a company level, LinkedIn contributed approximately 4 points of revenue growth and 5 points of gross margin growth with minimal impact on operating income growth. Excluding the cost of amortization of acquired intangibles, LinkedIn contributed $111 million operating income and continues to be accretive to EPS this fiscal year, ahead of our original expectations.
Across most geographies, our results were in line with overall improving macroeconomic trends. Large markets, including the U.S., Western Europe and France, performed better than expected driven by commercial cloud momentum. Our sales teams and channel partners delivered another quarter of outstanding commercial results, even as we continue to work through our sales reorganization from July.
Our commercial revenue annuity mix improved by 3 points year-over-year to 86% with healthy renewal rates. Commercial bookings increased 7% and 4% in constant currency even with a 20% smaller underlying expirations base. Commercial unearned revenue came in slightly higher-than-expected at more than $20.2 billion from growth in multiyear customer commitments to Azure. Commercial cloud revenue was $5.3 billion, growing 56% year-over-year with broad-based growth across geographic markets and customer segments. Gross margin increased by 7 points to 55%, in line with seasonal trends. We improved gross margin percentage in each cloud service, and Azure again saw the most significant margin improvement this quarter.
Company gross margin was 62% and flat year-over-year. Sales mix of higher-margin products and services, including better-than-expected performance from Windows Server and Windows OEM Pro, combined with improving cloud margins offset the impact of a growing mix of cloud revenue, LinkedIn amortization cost and device launches.
The FX impact on company and segment revenue growth was in line with expectation. The weaker U.S. dollar increased revenue growth by less than 1 point. FX had only 1 point of impact on operating expense growth, less than expected. This quarter, operating expenses grew 14% and 13% in constant currency with 10 points of growth from LinkedIn, including $154 million of amortization expense. We continued to increase investments in cloud engineering, AI and sales capacity to drive future growth.
Now to the segment results. Productivity and Business Processes revenue grew 25% and 24% in constant currency to $9 billion, slightly better than expected, fueled by LinkedIn revenue acceleration. LinkedIn contributed 15 points of growth. Office commercial revenue grew double digits again this quarter, increasing 10% year-over-year. Office 365 commercial revenue increased 41% from an installed base growth across all customer segments and ARPU expansion from continued customer migration to higher-value offers in the E3 and E5 workloads. Office 365 commercial seats grew 30%, in line with the expected trend given the increasing size of the base.
Office consumer revenue increased 12% and 11% in constant currency driven by Office 365 recurring subscription revenue and growth in our subscriber base, now at 29.2 million. Our Dynamics business grew 10% and 9% in constant currency driven by Dynamics 365 revenue growth of 67% and 68% in constant currency. LinkedIn revenue for the quarter was better than expected at $1.3 billion driven by strong sales execution across all LinkedIn services. We saw continued strength in user engagement, customer acquisition, renewals and upsell performance.
Segment gross margin dollars increased 24% and 23% in constant currency with 14 points of contribution from LinkedIn, including the impact of $222 million of amortization expense. Gross margin percentage decreased slightly due to the impact of LinkedIn-related amortization expense and the increased mix of cloud services.
Operating expenses grew 41%, 39% in constant currency with 33 points of contribution from LinkedIn, including $154 million of amortization expense. Excluding LinkedIn, operating expenses increased on cloud engineering and sales capacity investments. Operating income increased 9% and 10% in constant currency with only 2 points of negative impact from LinkedIn.
The Intelligent Cloud segment delivered $7.8 billion of revenue, growing 15% with better-than-expected performance driven by hybrid cloud. Server products and cloud services revenue grew 18% with another quarter of double-digit annuity revenue growth. Azure revenue growth accelerated to 98%, with Azure premium services revenue growing triple digits for the 14th consecutive quarter. Enterprise Services revenue grew 5% and 3% in constant currency as growth in Premier Support services and Microsoft consulting services was partially offset by declines in custom support agreements for Windows Server 2003.
Segment gross margin dollars grew 13%, and gross margin percentage declined slightly as the impact of increasing cloud revenue mix was mostly offset by material improvement in Azure gross margin. Operating expenses grew 3% and 2% in constant currency from ongoing investments in sales capacity and cloud engineering. Operating income increased 24%.
In More Personal Computing, revenue was $12.2 billion, up 2% with better-than-expected results driven by Windows and search. Excluding phone, revenue grew 4%. Our Windows OEM business grew 4% this quarter, better than we expected. OEM Pro revenue reflects a stronger-than-anticipated commercial PC market bolstered by improved macro conditions and continued healthy enterprise Windows 10 deployments. We benefited as well from higher mix of premium licenses and the timing of license purchases.
OEM non-Pro revenue was down 5 points, below the stabilizing consumer PC market. We continued to see growth in the premium category in line with the market, but heightened price competition of entry-level devices contributed to lower volumes. Inventory levels remained in the normal range.
Windows commercial products and cloud services declined 4% and 5% in constant currency mainly due to the impact of a large deal in the prior year. Search revenue ex TAC grew 15% from higher revenue per search driven by continued optimization of our advertising platform and search volume growth in both the U.S. and international markets.
Surface revenue grew 1%, roughly flat in constant currency, as we continue to transition our portfolio towards Surface Laptop, Pro with LTE and the new Surface Book 2. This holiday quarter, gaming revenue grew 8%, mainly driven by hardware revenue growth of 14%, 13% in constant currency from the launch of our premium console, the Xbox One X. Xbox software and services revenue growth was 4% with continued monetization growth partially offset by a prior year first-party AAA title launches.
Segment gross margin dollars were roughly flat year-over-year with the decline in gaming offset by growth in search and Surface. Segment gross margin percentage declined as expected with the console launch. Operating expenses increased 2% and 1% in constant currency from growth in engineering investments in search, AI and gaming that were partially offset by declines in Windows marketing and phone expenses. Operating income declined 2%. As a reminder, Q2 was the last quarter of phone comparability given the sale of feature phone business last year.
Now back to the overall company results. As expected, our capital expenditures, including finance leases, increased sequentially to $3.3 billion due to higher levels of customer demand and usage for our cloud services. Cash paid for property and equipment was $2.6 billion. Free cash flow generation -- free cash flow grew this quarter 23% driven by operating cash flow growth of 25%. Free cash flow increased from higher customer collections following strong billings growth, working capital improvements in the hardware business and contribution from LinkedIn. Other income and expenses was $490 million this quarter, more than planned due to higher interest income. Our non-GAAP effective tax rate this quarter was 18%, lower than anticipated, driven by an audit settlement as well as the normal variability between service and license revenue mix, geographic revenue mix and the timing of equity vest. We returned $5 billion to shareholders in share repurchases and dividends.
Now let's turn to next quarter's outlook. Assuming rates -- assuming current rates remain stable, we expect FX to increase revenue growth by 2 points, COGS by 1 point and operating expenses by 1 point. With positive IT spend signals, a strengthening commercial PC market and growing customer demand for hybrid cloud services, we expect our commercial business to remain strong as we drive annuity growth, expand our installed base and execute well on renewals. We expect commercial unearned revenue to be down approximately 2% to 3% sequentially, in line with historic seasonality. And our Q3 expiry base will return to year-over-year growth, impacting commercial bookings growth.
Third, CapEx. We will increase our capital expenditures to support increasing demand and capacity requirements. On an accrual dollar basis, we expect a sequential dollar increase next quarter. We expect year-over-year improvement in overall commercial cloud gross margin as Azure margin improvement continues to offset an increasing mix of Azure revenue.
In Productivity and Business Processes, we expect revenue between $8.6 billion and $8.8 billion. Both Office commercial and consumer revenue growth will be driven by Office 365 with growth rates for each consistent with Q2. We expect double-digit Dynamics revenue growth from the shift to Dynamics 365. LinkedIn should deliver approximately $1.2 billion, growing more than 20%.
In Intelligent Cloud, we expect revenue between $7.55 billion and $7.75 billion, with strong double-digit revenue growth in server products and cloud services. In Enterprise Services, we expect a revenue growth rate similar to Q2 as growth in Premier Support should offset the decline of Windows 2003 custom support agreements. In More Personal Computing, we expect revenue between $9.1 billion and $9.4 billion. In Windows, we expect OEM revenue to be largely in line with the total PC market. Both OEM Pro revenue and non-Pro revenue should be impacted by similar dynamics seen in Q2.
Now to devices. Surface revenue should grow year-over-year from continued launch momentum from the latest Surface Pro, Book and Laptop, but decline sequentially consistent with holiday seasonality. In search ex TAC, we expect a similar strong rate of revenue growth to Q2. In gaming, we expect revenue growth similar to last quarter but with a revenue mix shift to software and services and continued year-over-year growth of our Xbox LIVE user base. We expect COGS between $9 billion and $9.2 billion, including 1 point of FX headwind. We expect operating expenses of $9.1 billion to $9.2 billion, including 1 point of FX headwind. Given the opportunity ahead of us and our execution to date, we will continue to invest in intelligent cloud, intelligent edge, AI and our sales teams to drive sustainable top line growth. Other income and expense should be approximate $350 million as we continue to take gains in our equities portfolio and earn dividend and interest income. This is lower than we previously expected, reflecting the impact of rising interest rates on our fixed income portfolio.
Now a few comments on the fiscal year. First, given our outperformance in the first half of the year, we are now ahead of our previous expectation for full year gross margin. We are now trending to be roughly flat year-over-year, including LinkedIn. Second, we still expect full year operating expenses, including LinkedIn, between $36.4 billion and $36.7 billion. We are confident in this investment given our significant growth opportunities, consistent execution and strong competitive position. Third, on operating margin. We are again trending ahead of our previous guidance. We now expect company operating margin, including LinkedIn, to be slightly up year-over-year. Excluding LinkedIn, company operating margin should improve by more than 1 point.
Fourth, tax rate. Based on our current understanding of the recently enacted tax law, we now expect our effective tax rate for H2 to be 16%, plus or minus 2 points. For FY '19, we expect our full year effective tax rate to be slightly below the new U.S. corporate rate of 21% due to the impact of tax law provisions effective for us July 1, 2018. We will continue to have quarterly variability based on the mix of service and license revenue, geographic mix of revenue and the timing of equity vests.
Finally, we remain consistent in our ongoing commitment to capital return. As always, we believe the highest shareholder value is created first through organic and inorganic investment to pursue the significant market opportunities ahead and are proud of our resource allocation changes and the results. And we've been focused on capital return through both dividend and share repurchase as a key part of our commitment to total shareholder return for many years. With the recent tax reform, we can continue that commitment without the need to access the capital markets.
Before turning to Q&A, I have one special thank you. Chris Suh is moving to a new role as the senior finance leader of our Azure and Server business. On behalf of the company, thank you for your significant impact on Investor Relations for the past 5 years. And I'd like to welcome Mike Spencer, the former finance leader of our Office 365 business, as the new head of Investor Relations. We look forward to having you lead the team.
Now Chris, let's go to Q&A.",2212
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114845.0,Presenter Speech,Chris Suh,,Executives,4,"Thanks, Amy. We'll now move to the Q&A. Roya, can you please repeat your instructions?",15
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114846.0,Question and Answer Operator Message,Operator,,Operator,5,[Operator Instructions] Our first question comes from the line of Karl Keirstead with Deutsche Bank.,15
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114847.0,Question,Karl Keirstead,,Analysts,6,"So relative to your guidance, over half the beat this quarter came in the Intelligent Cloud segment, so I wouldn't mind digging in there a little bit. And it wasn't just the amazing Azure performance. Your on-prem server product business accelerated despite the cautious commentary about a tough comp on the last call. Even Enterprise Services was plus 3 instead of flat, and your guide actually suggests that, that goodness in Intelligent Cloud should continue next quarter despite actually a way tougher comp. So I'm just curious, Amy or Satya, if there are any threads that you can weave through this Intelligent Cloud outperformance, if you saw any broader increase in enterprise spend in the December quarter, any change in behavior. Or is all of this goodness a little bit more Microsoft-specific? Amy, you called out IT spending signals, so I'm guessing maybe a little bit was macro.",148
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114848.0,Answer,Satya Nadella,,Executives,7,"Thanks, Karl. Let me start and Amy can add. For me, it all comes down to really having an architectural advantage on what is a new secular trend. So when we think about the intelligent cloud and the intelligent edge and then bring that to the Azure business, you can see it at each layer. When it comes to infrastructure, we're the only cloud provider that provides true hybrid cloud computing with Azure and Azure Stack. When it comes to the data tier, we have real uniqueness. Take something like Cosmos DB. It's the only planet-scale database that's multimodal, supports these new programming models of serverless and event-driven programming. Take SQL. What we are seeing in terms of SQL growth, in terms of Azure DB as well as SQL Server and SQL Server on Linux, that's, again, addressing the customer needs. There are new workloads that are being born that require both the cloud and the edge, IoT being a great example of that. And especially when you take that in combination with AI, again, you train on the cloud and you score on the edge. That's a real competitive advantage. We have everything from sort of the life cycle management of how these models get created and deployed and so on. So I think that's what you're seeing. There will be variability quarter-to-quarter. There will be mix differences. But overall, when I look at what is it that we need to get done is innovate on what is a fundamental architectural advantage to where the world is going.",259
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114849.0,Answer,Amy Hood,,Executives,8,"And I would say, Karl, a couple of things. We've been investing here both in engineering to land the differentiation that Satya just talked about in sales resources and in continuing to invest in technical sales resources that can help our customers be successful in these deployments. I actually think you're continuing to see the impact of those investments growing in time and growing in expertise. And so I feel encouraged both by the technical differentiation but also the return on the investments we've made here that lead us to have a good amount of confidence that you do see in the guide in Q3. And yes, you're right. We do have a tougher comparable particularly on prem in Q3, which is correct.",123
21835.0,"Microsoft Corporation, Q2 2018 Earnings Call, Jan 31, 2018",2018-01-31,48.0,Earnings Calls,Microsoft Corporation,3691.0,1378995.0,55114850.0,Question and Answer Operator Message,Operator,,Operator,9,Our next question comes from the line of Keith Weiss with Morgan Stanley.,13
